

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Timestamp        Logging Entity           Source                   Destination              Seq No  Flag    Ack No  Start Payload            Checksum    Comment                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11:59:21.699     NETWORK                                                                                                                                 Packet 101 send!                                  
11:59:21.701     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:21.716     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:21.784     CLSocket::coReceive                                                                                                                     State of socket is:
Bound:true
Closed: false
Connected: true
Local Port: 5555
Remote Port:56713
11:59:21.865     CLSocket::receive                                                                                                                       Finished receiving at:5555                        
11:59:21.869     AbstractConnection                                                                                                                      Received an internal packet in doReceive          
11:59:21.895     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:21.898     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:21.904     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:59:24.697     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:24.701     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:24.704     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:59:27.500     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:27.504     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:27.505     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:59:30.303     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:30.318     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:30.319     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:59:33.105     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:33.109     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:33.111     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:59:35.909     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:35.913     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:35.915     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:59:38.713     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:38.717     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:38.719     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:59:41.516     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:41.519     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:41.522     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:59:44.319     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:44.323     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:44.325     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:59:47.121     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:47.125     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:47.127     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:59:49.925     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:59:49.932     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:59:49.934     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
