

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Timestamp        Logging Entity           Source                   Destination              Seq No  Flag    Ack No  Start Payload            Checksum    Comment                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
22:42:6.299      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.300      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.300      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.301      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.302      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.302      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.303      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.303      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.304      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.305      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.306      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.306      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.306      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.307      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.308      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.308      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.312      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.312      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.313      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.314      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.314      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.315      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.315      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.316      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.317      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.317      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.318      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.319      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.319      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.320      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.321      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.322      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.322      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.323      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.324      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.325      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.325      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.326      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.327      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.328      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.328      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.329      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.330      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.331      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.332      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.333      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.333      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.334      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.335      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.336      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.336      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.337      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.338      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.339      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.340      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.340      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.341      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.342      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.343      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.343      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.343      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.344      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.344      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.345      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.345      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.345      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.346      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.346      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.347      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.347      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.347      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.348      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.348      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.349      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.349      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.350      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.350      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.350      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.351      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.351      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.352      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.352      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.352      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.353      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.353      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.354      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.354      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.354      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.355      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.355      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.356      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.356      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.356      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.357      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.357      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.358      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.358      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.358      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.359      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.359      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.360      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.360      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.360      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.361      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.361      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.362      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.362      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.362      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.363      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.364      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.365      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.367      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.367      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.368      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.369      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.370      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.370      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.371      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.372      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.373      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.374      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.375      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.375      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.376      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.379      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.380      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.381      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.382      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.382      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.383      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.384      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.384      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.385      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.386      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.387      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.388      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.388      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.389      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.390      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.391      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.391      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.392      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.393      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.394      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.395      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.396      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.396      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.397      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.398      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.398      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.399      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.403      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.404      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.405      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.406      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.406      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.407      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.408      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.409      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.410      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.411      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.411      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.412      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.413      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.414      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.415      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.415      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.416      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.417      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.418      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.418      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.419      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.420      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.421      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.422      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.422      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.423      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.424      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.425      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.425      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.426      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.427      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.427      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.428      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.429      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.429      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.430      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.431      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.432      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.432      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.433      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.435      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.437      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.437      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.438      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.439      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.440      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.441      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.441      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.442      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.442      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.443      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.444      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.444      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.445      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.445      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.446      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.446      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.451      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.452      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.453      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.454      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.454      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.455      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.455      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.456      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.456      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.457      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:6.458      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:6.458      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:6.459      CLSocket::receive                                                                                                                       Receiving at:5555                                 
