

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Timestamp        Logging Entity           Source                   Destination              Seq No  Flag    Ack No  Start Payload            Checksum    Comment                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
22:42:2.830      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.832      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.833      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.834      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.836      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.837      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.837      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.839      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.867      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.868      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.869      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.870      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.871      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.872      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.873      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.873      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.874      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.875      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.876      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.877      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.878      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.878      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.880      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.880      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.881      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.882      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.883      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.884      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.885      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.886      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.886      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.888      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.888      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.889      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.890      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.891      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.892      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.893      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.894      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.894      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.895      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.896      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.897      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.898      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.899      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.900      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.901      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.902      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.902      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.904      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.904      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.905      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.906      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.907      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.907      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.909      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.909      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.910      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.911      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.912      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.912      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.924      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.942      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.943      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.947      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.947      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.948      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.949      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.950      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.951      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.953      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.954      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.954      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.957      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.957      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.958      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.960      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.961      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.962      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.964      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.965      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.965      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.966      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.967      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.967      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.969      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.969      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.970      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.972      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.973      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.974      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.975      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.976      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.977      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.978      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.979      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.979      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.981      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.981      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.982      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.983      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.984      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.984      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.986      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.986      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.987      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.988      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.988      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.989      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.990      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.991      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.991      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.992      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.993      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.993      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.995      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.995      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.996      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.997      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:2.998      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:2.998      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:2.999      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:3.0        CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:3.0        ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:3.2        AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:3.2        CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:3.3        ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:3.4        AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:3.5        CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:3.5        ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:3.8        AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:3.9        CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:3.9        ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:3.12       AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:3.13       CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:3.13       ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:3.17       AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:3.17       CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:3.18       ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:3.19       AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:3.20       CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:3.20       ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:3.21       AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
