

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Timestamp        Logging Entity           Source                   Destination              Seq No  Flag    Ack No  Start Payload            Checksum    Comment                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11:12:38.471     NETWORK                                                                                                                                 Packet 101 send!                                  
11:12:38.474     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:12:38.496     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:12:38.652     CLSocket::coReceive                                                                                                                     State of socket is:
Bound:true
Closed: false
Connected: true
Local Port: 5555
Remote Port:56516
11:12:38.683     CLSocket::receive                                                                                                                       Finished receiving at:5555                        
11:12:38.687     AbstractConnection                                                                                                                      Received an internal packet in doReceive          
11:12:38.689     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:12:38.699     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:12:38.702     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:12:41.491     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:12:41.494     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:12:41.496     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:12:44.294     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:12:44.298     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:12:44.301     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:12:47.98      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:12:47.102     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:12:47.105     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:12:49.902     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:12:49.907     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:12:49.909     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:12:52.706     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:12:52.710     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:12:52.712     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:12:55.508     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:12:55.528     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:12:55.530     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:12:58.310     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:12:58.314     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:12:58.316     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:13:1.114      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:13:1.118      CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:13:1.120      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:13:3.916      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:13:3.920      CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:13:3.922      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:13:6.719      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:13:6.722      CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:13:6.724      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:13:9.522      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:13:9.526      CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:13:9.528      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:13:12.326     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:13:12.330     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:13:12.332     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:13:15.130     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:13:15.155     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:13:15.162     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:13:17.952     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:13:17.956     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:13:17.957     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:13:20.754     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:13:20.758     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:13:20.760     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
