

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Timestamp        Logging Entity           Source                   Destination              Seq No  Flag    Ack No  Start Payload            Checksum    Comment                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11:31:47.915     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:31:47.917     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:31:47.918     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:31:50.717     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:31:50.724     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:31:50.725     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:31:53.519     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:31:53.522     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:31:53.523     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:31:56.321     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:31:56.323     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:31:56.324     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:31:59.123     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:31:59.126     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:31:59.127     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:1.926      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:1.928      CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:1.928      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:4.727      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:4.730      CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:4.731      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:7.528      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:7.531      CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:7.532      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:10.331     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:10.334     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:10.335     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:13.132     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:13.136     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:13.137     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:15.935     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:15.938     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:15.939     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:18.738     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:18.741     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:18.742     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:21.541     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:21.544     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:21.544     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:24.342     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:24.345     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:24.346     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:27.145     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:27.149     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:27.150     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:29.946     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:29.949     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:29.950     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:32.749     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:32.756     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:32.757     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:35.550     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:35.553     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:35.554     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:38.353     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:38.355     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:38.357     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:41.155     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:41.158     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:41.159     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:43.956     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:43.960     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:43.961     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:46.758     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:46.761     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:46.762     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:49.560     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:49.562     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:49.563     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
11:32:52.362     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
11:32:52.368     CLSocket::receive                                                                                                                       Receiving at:5555                                 
11:32:52.369     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
