

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Timestamp        Logging Entity           Source                   Destination              Seq No  Flag    Ack No  Start Payload            Checksum    Comment                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10:45:9.503      NETWORK                                                                                                                                 Packet 0 send!                                    
10:45:9.506      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
10:45:9.516      CLSocket::receive                                                                                                                       Receiving at:5555                                 
10:45:9.619      CLSocket::coReceive                                                                                                                     State of socket is:
Bound:true
Closed: false
Connected: true
Local Port: 5555
Remote Port:56298
10:45:9.650      CLSocket::receive                                                                                                                       Finished receiving at:5555                        
10:45:9.652      AbstractConnection                                                                                                                      Received an internal packet in doReceive          
10:45:9.654      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
10:45:9.672      CLSocket::receive                                                                                                                       Receiving at:5555                                 
10:45:9.674      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
10:45:12.457     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
10:45:12.462     CLSocket::receive                                                                                                                       Receiving at:5555                                 
10:45:12.465     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
10:45:15.261     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
10:45:15.270     CLSocket::receive                                                                                                                       Receiving at:5555                                 
10:45:15.273     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
10:45:18.69      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
10:45:18.73      CLSocket::receive                                                                                                                       Receiving at:5555                                 
10:45:18.77      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
10:45:20.873     AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
10:45:20.878     CLSocket::receive                                                                                                                       Receiving at:5555                                 
10:45:20.880     CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
